text,label,five_folds,ten_folds,train_test_split
"Wäre nix neues: je rechter, desto großzügiger vom Kapital hofiert. Witzig ist nur diesesmal die Richtung - die CDU-Granden mußten damals die schwarzen Koffer noch in die Gegenrichtung kutschieren.  ",0.0,0,0,0
"Nordafrikaner, Araber und Iraner? Deshalb wird ein Freibad in Düsseldorf geschlossen? Die Polizei sind Weicheier. Wegen Beamtenbeleidigung werden zwei Namen aufgenommen??  Was muss noch alles passieren, dass man feststellt, dieser Personenkreis gehört nicht nach Deutschland und muss mit konsequenter Härte angefasst werden. Leider sind die Richter wieder der Schwachpunkt.  Wem haben wir alles zu verdanken? ",1.0,0,0,0
"Jeder Tote ist einer zuviel. Ich habe habe gestern wieder die Begenung der dritten Art mit Fahrradfahren gehabt. Einer fuhr neben mir auf dem Fahrradweg, was richtig war, einer fuhr auf dem Bürgersteig obwohl der Fahrradweg breit genug ist. Einer fuhr auf der Strasse und der Höhepunkt mir kam auf meiner Fahrbahn entgegen. Das soll die Autofahrer nicht verzweifelen lassen. Jeder Radfahrer macht sich seine eigenen Regel.",0.0,0,0,0
"Wenn man liest, dass wegen ca 60 nordafrikanischer junger Flüchtlinge, die Bademeister und Badegäste  angegriffen haben, schon zum dritten Mal in diesem Jahr das Südbad geräumt und geschlossen werden musste, kann man die Australier verstehen, die nicht einen Flüchtling ins Land lassen! Das solche Verbrecher in unserem Land auf  unsere Kosten leben dürfen, haben wir der verfehlten Flüchtlingspolitik zu verdanken !! Danke Frau Merkel!!!",1.0,0,0,0
"Systemparteien versagen überall!  Als die R2G Parteien und Ihren hilflosen Politikern regierten, konnten diese Verbrechen an den armene Kindern geschützt durch überforderte Jugendämter und Polizei passieren.   Jetzt wird mit CDU und FDP die Aufklärung verhindert.   Welche Partei soll man jetzt noch wählen?  Die Wahl ist da ja alternativlos. ",0.0,0,0,0
Wer sich mit Russen einlässt,1.0,0,0,0
"Wer die Frage ""Warum ?"" stellt, schaut wohl nur ARD und ZDF.  Die Wahrheit sieht man auf der Straße und den politischen Ergebnissen der letzten Jahre.  Da frage ich lieber ""warum ?"" macht eine Bundesregierung so eine Politik ?",0.0,0,0,0
"Die muslimische Ideologie hat mit ""Du sollst nicht töten!"" nichts im Sinn. Verfassungstreue ist gleichfalls nicht feststellbar. Daher sollte alles dafür unternommen werden, das solche Volksverhetzungen in Deutschland keinen Platz mehr haben.",1.0,0,0,0
"Die Bundeswehr ist in einem dermaßen desolaen Zustand, da kann niemand an die Ernsthaftigkeit Deutschlands zum Beitrag irgendeiner Verteidugung glauben.",0.0,0,0,0
"Die deutschen ""Fußballfans"" können wir leider nirgendwo hin abschieben - außer - bei Straftaten - mal ein paar Monate oder Jahre ins Gefängnis. Aber die Türken, die meinen, sie könnten Deutschland zum Schlachtfeld ihrer türkischen Belange machen, wünsche ich mir ganz schnell in die Türkei zurück.",1.0,0,0,0
Ich freue mich schon auf Freitag 20.14 in 3Sat!,0.0,0,0,0
Diese Integrationverweigerer kennen alle Ihre angeblichen Rechte aber Ihre Pflichten dafür nicht !!!   ,1.0,0,0,0
"Englisch ist zur Zeit noch die führende Sprache in der Wirtschaftswelt.  Und wenn man Englisch in der Schule abschaffen will, dann sollte Chinesisch angeboten werden, denn chinesisch wird zunehmend an Bedeutung gewinnen - im Gegensatz zu türkisch!  ",0.0,0,0,0
Kann man die rund 200 Helfer ebenfalls nach Frankreich abschieben!?,1.0,0,0,0
"...gut gelaunte Merkel! Ja, man ist gut gelaunt...kurz vor der Rente/Pension!!!",0.0,0,0,0
"Die  Polizei sucht Zeugen! Wie das? Sie sind doch an der Hochzeitskolonne vorbei gefahren. Autotyp, Nummernschilder usw.  Ansonsten wäre ein Gesetz mal sehr nützlich, das in so einem Fall Videoaufnehmen vor Gericht als Beweis anerkannt werden! Dann brauchen auch die - Normalbürger - keine Angst mehr vor der riesigen Sippe zu haben. Wir haben nur noch Angst vor diesen Mitbürgern!",1.0,0,0,0
Noch hat der Bürger die Möglichkeit korrigierend einzugreifen - er sollte davon im kommenden Mai Gebrauch machen. ,0.0,0,0,0
"Jetzt muss es das ganze Land verstanden haben. Leider wohl nicht. Denn sie hätte die Ansprache nicht in Deutsch halten sollen. Viele, die sich nicht an die Abstandsregeln halten, sind vor Corona nicht zur Arbeit gegangen und werden es auch nach Corona nicht. ",1.0,0,0,0
"Die höchsten Strafen nützen nichts, wenn sie nicht eingefordert werden. Gibt ja leider kaum Personal, was kontrolliert.",0.0,0,0,0
"Wer keine Argumente hat, zündet Sprengsätze - wie die Islamisten.",1.0,0,0,0
"Tolle Idee....  Es sollen also auf Einnahmen eines eh schon defizitären städtischen Betriebes verzichtet werden.... Für was?  - Die Bekanntheit zu steigern,  wer in Düsseldorf kenn die Bahn denn nicht? - Die Gäste von der Attraktivität zu überzeugen, also mit einer Maßnahme wo sie überfüllt und damit wohl auch verspätet sein wird...  Vollkommener Blödsinn zu Lasten(!) der Bürger, denn die müssen irgendwie die Einnahmendefizite ja im Endeffekt ausgleichen....",0.0,0,0,0
"Nichts gegen einen Hochzeitscorso mit Hupen. Aber die Herrschaften aus der Türkei übertreiben es halt und Rumgeballer oder Straßensperrungen gehören einfach nicht dazu, zumindest in Deutschland. Wer so Feiern will es Billige ONE-Way Tickets von Köln in die Türkei am Flughafen geben.",1.0,0,0,0
"Rosamunde Pilcher wäre begeistert über soviel rührseligen Text. Ich muss ""Spreegurken-Gegner"" recht geben.  Was ist denn mit dem Artikel passiert: Kapitänin Carola Rakete erhebt schwere Vorwürfe gegen Horst Seehofer? Vor 2 Stunden war der noch aufrufbar.",0.0,0,0,0
Wen hätte das in diesem riesigen muslimisch geprägten Land gewundert?! ,1.0,0,0,0
"Na prima, ich muß nicht in Düsseldorf einkaufen, Es gibt auch schöne Städte im Umkreis.",0.0,0,0,0
"Herr Direktor irrt. Sein Museum besitzt nur die Leinwand, das Bild gehört der Menschheit. In Eurabien wäre das Bild sowieso von den Muslimen zerstört, genauso wie die Buddha Statuen und andere Kunstwerke.",1.0,0,0,0
"Der Friedrich-Ebert-Platz eignet sich besser zum Umstieg mit ""Umsteiger""-Ansage als der Hauptbahnhof. Wenn ein Bus dort steht blockiert er alle anderen Linien. ",0.0,0,0,0
"....tja...wenn es um *Ehre* geht, da kennen die Spieler, Trainer u. Verantwortlichen mancher Clubs kein Erbarmen. Man schaue---wenn man Tus Asterlagen googelt---auf den Kader der Mannschaft. Es ist seit Jahren immer wieder die gleiche ....Kacke.... Vorderasiaten haben die Regentschaft durch ihre archaische u. patriarchalische Wertevorstellung im Amateursport voll unter Kontrolle.  ",1.0,0,0,0
"Wer will sich schon mit""der Mannschaft ""identifizieren?",0.0,0,0,0
"Das war wieder klar - eine Weichspülerlösung, was in der Folge wieder zu nichts effektives führen wird, mit der Folge, dass wir künftig nicht nur islamistische Gefährder unter uns haben, sondern auch anerkannte Terroristen - die wir auch nicht los werden... Was ist mit der SPD los ... man fasse sich an den Kopf! Die AfD wird`s freuen! ",1.0,0,0,0
"..habe zwei andere Akademiker gefragt, die sagen das geht schon klar.. Demokratie..Mehrheit..wir bleiben bei Rothaut..",0.0,0,0,0
Genau..knallhart gegen Hundebesitzer vorgehen. Mit sehr hohen Bussgelder. Aber illegale Menschen ohne gültige Ausweispapiere ins Land lassen und denen dann noch tausende von € jeden Monat zukommen lassen ...das ist in Ordnung. Einreise ohne gültige Ausweispapiere oder Visa ist eine Straftat. Da muss man nicht gegen vorgehen.,1.0,0,0,0
"die gleiche Komödie  wie immer. Bald kommt auch wohl der Begriff  ""Giftgas"" ins Spiel.  Alle springen völlig unkritisch auf die Kampagne an und wieder mal wird es funktionieren.   ",0.0,0,0,0
EINEN AMÜSANTEN BEITRAG VON DER RHEINISCHE PÓST:ANTI AUTORITÄER; JE SCHRÄRFER DIE REGELN JE SCHÄRFER DIE ÜBERTRETUNGEN: SEIT: JAHREN KOMMEN DIE SCHLIMMEN ÜBER DIE GRENZE UND ÜBERFALLEN GELD AUTOMATEN UMDAN WIEDER ZU VERSCHWINDEN;,1.0,0,0,0
"die Frage ist doch:""Was gedenkt der Staat dagegen zu tun?"" ",0.0,0,0,0
"Laufen die gesamten Aktionen gegen die Clan-Kriminalität im Ruhrgebiet nicht unter dem Motto  ""Wehr dich, es ist dein Land!""?  ... es ist also das offizielle Motto, oder ... ?  ""108 kriminelle Clans sind nach neuesten Erkenntnissen in Nordrhein-Westfalen aktiv. Die Zahl zeigt ...""  https://www.welt.de/politik/deutschland/article191003483/Organisierte-Kriminalitaet-Das-steckt-hinter-der-Verdopplung-der-Clans.html",1.0,0,0,0
"Liebe RP- Mittlerweile ist wirkleichbei jedem angekommen, dass ihr Herrn Rose anscheinend abgöttisch liebt. Mal sehen was euer Messias dann in der kommenden saison so bringt. Hört doch bitte mal mit den Jubelarien auf...",0.0,0,0,0
"Können sich bei ihren muslimischen Glaubensbrüdern bedanken, die danach den Sprengsatz gezündet haben, dass die Polizei so ""Vorsichtig"" und besonnen handelt. Ist zum Glück nichts passiert, hätte auch anders sein können. Bravo Polizei. Manchmal muss man eben mit Kanonen auf Spatzen schiessen...",1.0,0,0,0
"Anders als viele Kommentatoren, denen nichts Besseres einfällt als Frau Genc auch noch anzupöbeln, hat sie sich immer für Intergration und Versöhnung eingesetzt.  Wenn sie jetzt diesen Integratinspreis nicht annimmt, muss man das akzeptieren. Seit 2018 wird in NRW die „Mevlüde-Genç-Medaille“ für Integration verliehen. Wenn ein Integrationspreis nach einem selbst benannt ist, ist die Annahme weiterer Preise überflüssig.",0.0,0,0,0
"Hauptgrund des Austrittswunsches der britischen Bevölkerung waren die Bilder von Hunderttausenden jungen Männern aus dem Orient und aus Afrika, die hier in die Sozialsysteme einwandern; das sollte man bedenken, wenn man jetzt verbal auf die ""doofen"" Engländer einprügelt, die jetzt die supertolle EU verlassen wollen.",1.0,0,0,0
Mehr Macht = Mehr ParteienPosten( Gerangel ) = Mehr Kosten = Mehr Filz = Mehr Ineffizienz = Mehr Entmündigung des Bürgers  nicht in meinem namen!,0.0,0,0,0
"War doch klar, Millionen Zugereiste müssen versorgt werden.  Aber wie sagte doch die Bundeskanzlerin Fr. Dr. Merkel ""Wir schaffen das"".  Das sind die Folgen. Alles wird teurer. ",1.0,0,0,0
Die Verantwortlichen für diese Entscheidung sollte man an die Luft setzen. Hoffentlich zeigen die Fans jetzt Charakter und solidarisieren sich mit Funkel.,0.0,0,0,0
"Was mich vielmehr erschüttert, dass es diesen ganzen Wöhltätern ziemlich egal zu sein scheint, wenn sich hier überall „Zugereiste“ (ja so ist es) Obdachlose finden, die dann Parks vermüllen, in Ecken pissen und Parks scheissen!! Schlimm genug dass hier überhaupt Leute so leben müssen, aber dass muss man hier nicht dulden!  Deutschland ist ein Hot Spot für Armutsflüchtlinge geworden! Dazu brauche ich nur mit offenen Augen durch diese Stadt zu fahren..",1.0,0,0,0
"Von einer RAF hat Frau Dreyer vermutlich noch nie was gehört, die 40 Menschen ermordet haben. Teile dieser Ex Terroristen haben einen guten Draht zur LINKEN. ( Klar/Viett)",0.0,0,0,0
"Eine Zeitung die das verhalten der Polizei als Rassimus bezeichnet, und das Verhalten dieser Muslime ( Provokant , Messer ) verhamlost. Werde ich nicht mehr unterstüzen. Mein Abo ist gekündigt.",1.0,0,0,0
"Das alles ändert doch nichts an der Tatsache, dass die geltenden Grenzwerte mit dem Würfelbecher festgelegt wurden.",0.0,0,0,0
"Würde das ""erhöhte Kindergeld ""auch direkt nach Rumänien oder an den Bosporus überwiesen werden können ? Das würde dann auch den erhöhten Reisekostenanteil  der Leistungsempfänger reduzieren. Macht Sinn !",1.0,0,0,0
"""Borderline"" ist auch für mich eine der ersten Vokabeln, die mir bei der momentanen politischen Situation in den USA (Wähler und Gewählte) einfällt - ""America First"" gehört auch dazu ... ►I. d. S. - gegen Krieg - für mehr soziale Gerechtigkeit - Obacht beim nächsten Kreuzchenmachen - sapere aude - aufstehen !!!◄ ",0.0,0,0,0
"In naher Zukunft wird auch der beste ""Gutmensch""verstanden haben dass wir die Grenzen zu Europa schließen und verteidigen müssen. Afrika hat so viel kriminelle Energie die würden uns sinngemäß einfach überrennen ohne dass wir was dagegen tun könnten,  körperlich überlegen, keine Angst vor dem Gesetz und etwaigen Konsequenzen, oder wie war das mit dem berühmten Spruch über Kalkutta.",1.0,0,0,0
"Meine Güte, was wird da wieder politisch korrekt palavert - bis zum bitteren Ende. Wenn angeblich zuviel Zucker im Schulkakao ist, dann senkt ihn doch ganz einfach um 50%! Und gut ist's.",0.0,0,0,0
"""Laut der Statistik der Bundesregierung ist etwa jeder 3. Inhaftierte in NRW Ausländer oder staatenlos."" Zählt man jetzt noch die Inhaftierten mit Migrationshintergrund hinzu, kommt man auf über 90 %. Im Übrigen werden möglichst keine Gefängnisstrafen mehr verhängt, weil die Gefängnisse schon voll mit dieser Klientel sind.",1.0,0,0,0
"Das war nicht das erste Interview, bei dem AfD-Politiker von den öffentlichen Medien provoziert werden.",0.0,0,0,0
"Deutschland wird nicht ""bunter""..Deutschland wird ""schwärzer""! Auf allen sogennanten ""Rettungsschiffen"" ( ich nenne sie ""Schlepperhilfsboote"", wire immer zu mindestens 90% scwarze M Ä N N E R! Deutschland schaft sich ab! Beim Seehofer hilft nur der Satz ..""herr vergib ihm, denn er weiss nicht was er tut! Oder weiss er es doch, und es steckt ein ganz perfieder Plan dahinter?",1.0,0,0,0
Na endlich bekommen wir die „großartige“ Idee auch mal in Schwarz-weiß und in Rechnung gestellt. Nach Angaben der Mags können 70 Prozent der Haushalte in der Stadt mit einer geringfügig oder deutliche niedrigeren Abfallgebühr rechnen. Der Rest muss mehr zahlen.  Friss oder stirb. Wer darf denn mehr zahlen und zählt zu den 30 Prozent der Looser? ,0.0,0,0,0
Tür wieder zu machen und wieder zurückschicken,1.0,0,0,0
"Keine 48 Stunden sind seit der Bekanntmachung von OB Reiners, auf einen Verzicht für eine zweite Amtszeit vergangen, und schon jetzt setzt sich eine mediale Diskussion um seine Nachfolge in Gange. Der politisch sachkundige Wähler jedoch wird dieses ""Pöstchen-Geschachere"" und den ""Klüngel a´la Gladbach"" hoffentlich zu verhindern wissen!",0.0,0,0,0
"Ich bin da SEHR skeptisch - lasse mich aber eines Besseren belehren, wenn auch die muslimischen Kinder zu der Auffassung kommen, daß vermeintliche Kuffar eben auch an einen Gott glauben und gar nicht so schlechte Menschen sind, wie von den archaischen Muslimen vermittelt. Friede - Shalom - Salam !",1.0,0,0,0
"Populistischer Unfug.  Der Doppelpaß machte eingeltich kein Probleme, und beruhte auf Verträgen mit verschieden Nationen. Auf ihn zu verzichten bedeutet keine Einbürgerung für Angehörige von Staaten, die ihre Bürger nicht aus  der Staatsbürgerschaft entlassen, und für viele andere den Verlußt des Erbes, der Ausübung ihrer Elternschaft oder der Möglichkeit, Angehörige zu besuchen. ",0.0,0,0,0
"Das ist immer dasselbe mit diesen exotischen Ländern, die Bevölkerung hungert oder lebt erbärmlich und solche Nichtsnutze schmeißen das Geld für solcheine blöde Zeremonie zum Fenster raus. Das ist überall in Asien,Afrika,Arabien,etc. so.Deshalb spende ich für solche Länder nicht einen Cent.",1.0,0,0,0
"""Die Gerüchte über den neuen Trainer treiben die Aktie des Klubs an der Mailänder Börse nach oben. Das Papier legte am Donnerstag um 2,2 Prozent auf 1,47 Euro zu.""  Das ist ja ein irrer Gewinnsprung. Da holt man ja ruckzuck die Bayer-Aktie ein, wenn das so weiter geht.",0.0,0,0,0
"Na ja, es sind und bleiben halt Insulaner.  Das hat mit Tennis oder sogar  mit Sportlichkeit nichts zu tun. Die müssen es sich immer mal wieder beweisen, warum sie auf der Insel leben. Jetzt war es mal wieder so weit. Schade um den Tennisspoert.",1.0,0,0,0
"Herbert Sommer ‎Mittwoch‎, ‎9‎. ‎Januar‎ ‎2019‎ ‎07‎:‎30 Uhr …...Komisch, dass Sie bei einer deutschen Frau direkt das ""Mütterverdienstkreuz""( das übrigens ""Mutterkreuz"" hieß) zur Sprache bringen. In Frankreich gab es  die Médaille de la Famille française. Diese Ehrung - vor den Zeiten der NSDAP eingeführt-  der französischen Mutter besteht bis heute fort. ",0.0,0,0,0
"Mohammed-Tattoos machen aber keine Probleme, oder? Die Mullahs und ihre Revolutionsgarden sollten dringend Tests über ihren Geisteszustand machen lassen. Der erfolgreichen Absolventen gratuliert dann bestimmt Steinmeier wieder, wie er es zum Jubiläum der Machtergreifung tat.",1.0,0,0,0
"Einer der vier ""Rohlinge"" hat Berufung gegen seinen  bereits nach einem DEAL erfolgten Urteilsspruch  auf Bewährung eingelegt. Lt RP vom 20.05.2019  ""...schützt den 18-Jährigen das Berufungsverfahren  allerdings nicht vor der drohenden Abschiebung...""  Machen wir uns nichts vor. Nein - besser! Lassen wir uns doch nichts vormachen:  Das ist/wäre nur der heisse Tropfen auf einen Stein, der aufgrund der (zu) vielen ""Einzelfälle""  schon reichlich ausgehöhlt ist. ",0.0,0,0,0
"Ich behaupte einfach mal ganz frei, dass der Antisemitismus gegenüber den Juden in Deutschland so gut wie gar nicht von den Deutschen ausgeht. Insofern sehe ich auch weniger die Deutschen in der Pflicht als die zugewanderten Judenhasser. Beispiele, die muslimisch geprägte Angriffe auf Juden zeigen, gab es dazu in den vergangenen Jahren genug. So ehrlich muss man schon sein. Aber der Islam gehört ja gemäß der Auffassung einiger Unverbesserlicher, so sehr zu Deutschland wie Bier und Spanferkel.",1.0,0,0,0
"Ich denke, dass man hier zwischen echten Protestlern und Krawallmachern unterscheiden muss. Letztere gehören rausgeworfen, erstere nehmen nur ein Grundrecht wahr.",0.0,0,0,0
"Man sollte sich langsam überlegen, wie man mit den hier lebenden Gefährdern in Zukunft umgehen will. Überall wo Islam draufsteht ist wohl auch Islam drin.   ",1.0,0,0,0
"Mich wundert, dass Herr Hofer es überhaupt nötig hat, in dem Alter noch zu arbeiten. Er sollte sich besser zur Ruhe setzen und sich seiner Familie widmen. Soweit ich weiß, hat er doch eine wesentlich jüngere Partnerin/Ehefrau und einen kleinen Sohn, der noch nicht mal eingeschult ist. Oder stellt die Ehefrau solche materiellen Ansprüche, dass er meint, bis zum Umfallen arbeiten zu müssen?",0.0,0,0,0
Richtig so!  Wir brauchen Kontakt zu diesem Türken nicht.,1.0,0,0,0
wir haben jahrelang die 2. und 3. Wahl-Politiker nach Brüssel abgeschoben und Witze gemacht. Jetzt bekommen wir die Quittung...Nach und Nach....,0.0,0,0,0
"Flüchtlinge? Das sind keine hilfsbedürftige Personen. Wer sich so in einem fremden Land benimmt, muss bestraft und abgeschoben werden.",1.0,0,0,0
"Haette Australien die Kinder auch zurueckgeholt, wenn deren Eltern noch am Leben gewesen waeren bzw. haetten sie die Eltern mit zurueckgeholt! Was die Kinder betrifft, eine gute und richtige Entscheidung!",0.0,0,0,0
"Willkommen in Absurdistan. So etwas gibt es nur im Merkelland. Ungeklärte Identität, dennoch ein gültiger Aufenthaltstitel. Unfassbar. Deutschland hat sich schon abgeschafft.",1.0,0,0,0
"Fand ich erst eine interessante Idee, aber wenn ich mir vor die Augen führe, wie sich Düsseldorfer Bus- und Taxifahrer verhalten, habe ich als Radfahrer doch ziemliche Bedenken. Dann doch lieber geschützte Radwege wie in anderen Städten. Aber dazu braucht es halt mehr als Pinsel, Farbe und ein paar Schilder.",0.0,0,0,0
Er ruft auch nicht die Feuerwehr wenn es brennt. Herr Laschet  Laufen Sie mal Abends alleine ohne Bodyguards durch unsere NRW Städte. Dann können Sie sehen was die Politiker angerichtet haben. Der Abschuam der Menschheit kommt zu uns keine Fachkräfte.,1.0,0,0,0
"Soviel ich weiß, müssen sie in London schon pro Tag ca. 30 € berappen, Stau ist aber trotzdem durchmassenweise Reisebusse und Lkw Lieferfahrzeuge.  Vorschlag für Berlin, Lkw 80 € Eintritt, Busse 100 € Eintritt, Pkw 50 €, irgendwann sagt auch der letzte ""Ist mir zu teuer."" und fährt woanders hin. Die Lkw haben sich dann auch erledigt und die Berliner sind wieder unter sich.",0.0,0,0,0
"Unter Kulturbereicherung verstehe ich zwar etwas anderes, aber in Sachen Nachrichtenbereicherung scheinen diese Gäste richtig gut zu sein.",1.0,0,0,0
"Das Problem ist, dass man Leute mit ""Sachverstand"" an die Sanierung lässt. Mehdorn hat die DB kaputt gespart, statt die Weichen für die Zukunft zu stellen. Beim BER hatte er auch seine Finger im Spiel. ",0.0,0,0,0
"Anstatt über das eigentlich Problem, nämlich prügelnde Asylbewerber zu sprechen, macht man nun wieder eine neue Diskussion auf...natürlich gehen Bürgerwehren nicht, aber wenn der Rechtstaat versagt und einfach nicht in der Lage ist seine Bürger zu schützen und Verfehlungen zu sanktionieren, dann hilft sich der Bürger eben selbst. Eine natürliche Konsequenz! ",1.0,0,0,0
"Wird auch viel billiger, Herr Laschet, wenn das Land nichts dazu tun muss. Dass es mit der Digitalisierung trotzdem nicht klappen wird, wird sich zeigen. Die Medienkompetenzen bei Lehrern fehlen zum Teil, Konzepte ebenfalls und die Personalausstattung wird immer mehr durch unausgebildete Seiteneinsteiger bestimmt.  So stellt man sich den Umgang mit Schülern und Schule vor. :(( ",0.0,0,0,0
Sofort Pass wegnehmen und für Kriegsverbrechen vor einem internationalen Gericht verurteilen.,1.0,0,0,0
"Was hat das Flüchtlingsbild bei einem Artikel über reguläre Einwanderung zu suchen? Oder ist es ein dezenter Hinweis, dass der Migrationspakt zumindest in Teilen ein Etikettenschwindel ist? Siehe den Passus ....... unaccompanied girls and boys ....... was bei einer regulären Einwanderung wohl kaum möglich ist. Kinder wandern nicht alleine regulär aus ihrem Heimatland aus.  Als einen versteckten Widerstand gegen den Migrationspakt halte ich das Bild für exzellent. ",0.0,0,0,0
"Ach Cindy, schon mal erkannt, es gibt nur wenige Flüchtlinge. Wollen sich nicht die meisten ein schönes Leben in unseren Sozialsystemen machen?",1.0,0,0,0
"Man sollte die Herrschaften der ""neuen"" Baumhäuser mal fragen, wo sie das Holz denn gekauft haben und sich entsprechende Belege zeigen lassen, naja, macht wohl keiner, man ist doch an der Wahrheit nicht wirklich interessiert. Die Bäume kommen doch bald eh weg.",0.0,0,0,0
"Ich ""fordere"" in erste Linie einen astreinen Deutschunterricht für alle Grundschüler! Wenn es nach Keltek geht, schafft sich Deutschland ab. Ist in diesen Kreisen offensichtlich so gewollt. Nächster Schritt: Kein Glockenläuten christlicher Kirchen mehr, aber der Ruf des Muezzin über den Stadtteilen ...  Vor Wien konnte das 1529 und 1683 noch gestoppt werden.",1.0,0,0,0
"Es ist nicht ""sein"" Schützenwald. Herr Patt hat ihn gestaltet und Herr Nickel hat ihn vermutlich gekauft und verschenkt an die Stadt Neuss. ",0.0,0,0,0
"Mimimi … ist doch komisch, die Türken haben immer, wirklich immer, was zu meckern und zu lamentieren, und setzen gleich ihren großen Vorsitzenden mit allem diplomatischem Pipifax in Marsch. Wäre da z.B. die japanische Mannschaft gelandet, hätten die ruhig, höflich und gesittet die Kontrollen abgewartet. ",1.0,0,0,0
"Ist das alles, was die RP als Beitrag dazu liefert? Hm....",0.0,0,0,0
"Ich kann dieses Gejaule und Geheule nicht mehr hören. Einfach mal hinnehmen und auch über sich selbst lachen können...das muss die ""Nichtminderheit"" ja auch! Keine Lust mehr auf den Korrektheits-Quatsch! Ich male mich nächstes Jahr dunkel an und setze mir eine Afroperücke auf. Anschließend verkleide ich mich als Frau, gebe mir einen Doppelnamen und trage Kopftuch. Mein Kostüm: Alle Minderheiten in einer Person. Man, man, man...",1.0,0,0,0
"Eine super Aktion um Kinder für das Thema ""Energiesparen"" zu sensibilisieren ... und in der Gemeinschaft ist´s doch zudem mit Spaß verbunden! :-) Aber übervorsorgliche Eltern machen daraus natürlich ein Drama. Traurig! Sind bestimmt genau die Eltern, die ihre Kinder jeden Tag mit dem Auto zur Schule karren, damit sie ja keinen Schnupfebn kriegen.",0.0,0,0,0
DAS IST JA EIN WUNDER !!! Ein Obdachloses Paar ( weil Schwanger) hat  eine Wohnung bekommen. Wie währe es wenn alle Obdachlosen die selbe Hilfe bekämen wie Flüchtlinge !,1.0,0,0,0
"Anwohner müssten doch gemäß Baugesetzbuch über ausreichend Stellplätze verfügen. Solange es legal ist, dort zu parken, wird sich nichts ändern.  Erst durch vorgeschriebene Anwohnerparkausweise würde die Situation entschärft. Dafür müsste aber der Spieß umgedreht werden und die Anwohner zahlen.",0.0,0,0,0
